"","alt.src","ym","gov.gold","last","end"
"1","al-Aqsa Martyrs' Brigades","2001-06-01",-3.5,"2001-06-01","2014-09-01"
"2","al-Aqsa Martyrs' Brigades","2001-07-01",-3.5,"2001-06-01","2014-09-01"
"3","al-Aqsa Martyrs' Brigades","2001-08-01",-5,"2001-06-01","2014-09-01"
"4","al-Aqsa Martyrs' Brigades","2001-09-01",-5,"2001-06-01","2014-09-01"
"5","al-Aqsa Martyrs' Brigades","2001-10-01",-5,"2001-06-01","2014-09-01"
"6","al-Aqsa Martyrs' Brigades","2001-11-01",-5,"2001-06-01","2014-09-01"
"7","al-Aqsa Martyrs' Brigades","2001-12-01",-5,"2001-06-01","2014-09-01"
"8","al-Aqsa Martyrs' Brigades","2002-01-01",-10,"2001-08-01","2014-09-01"
"9","al-Aqsa Martyrs' Brigades","2002-02-01",-10,"2001-08-01","2014-09-01"
"10","al-Aqsa Martyrs' Brigades","2002-03-01",-5.858824,"2002-01-01","2014-09-01"
"11","al-Aqsa Martyrs' Brigades","2002-04-01",-5.858824,"2002-01-01","2014-09-01"
"12","al-Aqsa Martyrs' Brigades","2002-05-01",-5,"2002-03-01","2014-09-01"
"13","al-Aqsa Martyrs' Brigades","2002-06-01",-5,"2002-05-01","2014-09-01"
"14","al-Aqsa Martyrs' Brigades","2002-07-01",-5.5,"2002-06-01","2014-09-01"
"15","al-Aqsa Martyrs' Brigades","2002-08-01",-5.5,"2002-06-01","2014-09-01"
"16","al-Aqsa Martyrs' Brigades","2002-09-01",-4,"2002-07-01","2014-09-01"
"17","al-Aqsa Martyrs' Brigades","2002-10-01",-4.666667,"2002-09-01","2014-09-01"
"18","al-Aqsa Martyrs' Brigades","2002-11-01",-4.666667,"2002-09-01","2014-09-01"
"19","al-Aqsa Martyrs' Brigades","2002-12-01",-4.666667,"2002-10-01","2014-09-01"
"20","al-Aqsa Martyrs' Brigades","2003-01-01",-10,"2002-12-01","2014-09-01"
"21","al-Aqsa Martyrs' Brigades","2003-02-01",-10,"2002-12-01","2014-09-01"
"22","al-Aqsa Martyrs' Brigades","2003-03-01",-10,"2002-12-01","2014-09-01"
"23","al-Aqsa Martyrs' Brigades","2003-04-01",-2.5,"2003-01-01","2014-09-01"
"24","al-Aqsa Martyrs' Brigades","2003-05-01",-9,"2003-04-01","2014-09-01"
"25","al-Aqsa Martyrs' Brigades","2003-06-01",-10,"2003-05-01","2014-09-01"
"26","al-Aqsa Martyrs' Brigades","2003-07-01",-10,"2003-06-01","2014-09-01"
"27","al-Aqsa Martyrs' Brigades","2003-08-01",-9.5,"2003-07-01","2014-09-01"
"28","al-Aqsa Martyrs' Brigades","2003-09-01",-0.8,"2003-08-01","2014-09-01"
"29","al-Aqsa Martyrs' Brigades","2003-10-01",-9,"2003-09-01","2014-09-01"
"30","al-Aqsa Martyrs' Brigades","2003-11-01",-9,"2003-09-01","2014-09-01"
"31","al-Aqsa Martyrs' Brigades","2003-12-01",-2,"2003-10-01","2014-09-01"
"32","al-Aqsa Martyrs' Brigades","2004-01-01",-10,"2003-12-01","2014-09-01"
"33","al-Aqsa Martyrs' Brigades","2004-02-01",-10,"2004-01-01","2014-09-01"
"34","al-Aqsa Martyrs' Brigades","2004-03-01",-6.666667,"2004-02-01","2014-09-01"
